identifier, premises_name, premises_number, premises_category, application_date, psu_registration_number, supervising_pharmacist, district, region, street_or_road
24, ABACUS PHARMA (A) LTD, NDA/PRE/WHP/1201, Wholesale Pharmacy, 01/12/2017, 526, KENNETH TUMUSIIME, Jinja, South Eastern Region - Jinja, Nizam Rd
25, ABACUS PHARMA (A) LTD - BEN KIWANUKA STREET, NDA/PRE/RTP/0296, Retail Pharmacy, 22/05/2018, 1254, AMOS OKOTH, KAMPALA, Central Region - Nakawa, BEN KIWANUKA STREET
26, Abacus Pharma (A) Ltd - Ben Kiwanuka Street, NDA/PRE/WHP/0297, Wholesale Pharmacy, 08/11/2017, 497, Freddy Kitutu, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
27, Abacus Pharma (A) Ltd - Iganga, NDA/PRE/WHP/2100, Wholesale Pharmacy, 14/11/2017, 947, Derrick Ssemujju, Iganga, South Eastern Region - Jinja, Old Market Street
28, ABACUS PHARMA (A) LTD - Soroti, NDA/PRE/RTP/1081, Retail Pharmacy, 17/01/2018, 1021, BRIAN KIGGUNDU, SOROTI, Eastern Region - Tororo, GWERI ROAD
29, ABACUS PHARMA (A) LTD - Soroti, NDA/PRE/WHP/1082, Wholesale Pharmacy, 22/11/2017, 1021, BRIAN KIGGUNDU, SOROTI, Eastern Region - Tororo, GWERI ROAD
30, ABACUS PHARMA (A) LTD - TITANIC PLAZA, NDA/PRE/WHP/0975, Wholesale Pharmacy, 27/11/2017, 796, Samuel Kakooza, KAMPALA, Central Region - Nakawa, JOHNSTONE STREET
31, Abacus Pharma (A) Ltd - Wilson Rd, NDA/PRE/WHP/0072, Wholesale Pharmacy, 21/11/2017, 579, JESSICA NAMUYANJA, KAMPALA, Central Region - Nakawa, Wilson Street
32, Abacus Pharma (A) Ltd - Wilson Road, NDA/PRE/WHP/0238, Wholesale Pharmacy, 07/03/2018, 813, JOSEPH ZZIWA, KAMPALA, Central Region - Nakawa, WILSON RD
33, Abacus Pharma (A) Ltd- Namirembe Rd, NDA/PRE/RTP/0543, Retail Pharmacy, 07/08/2018, 813, JOSEPH ZZIWA, KAMPALA, Central Region - Nakawa, MACKAY ROAD, OPPOSITE NEW TAXI PARK
34, Abacus Pharma (A) Ltd- Namirembe Rd, NDA/PRE/WHP/0542, Wholesale Pharmacy, 05/01/2018, 334, JAYNE TUSIIME, KAMPALA, Central Region - Nakawa, Namirembe Road
35, Abacus Pharma (A) Ltd William Street, NDA/PRE/WHP/0434, Wholesale Pharmacy, 21/11/2017, 579, JESSICA NAMUYANJA, KAMPALA, Central Region - Nakawa, William Street
36, ABACUS PHARMA (AFRICA) LIMITED, NDA/PRE/WHP/0086, Wholesale Pharmacy, 11/10/2017, 294, GIDEON MUSOKE, KAMPALA, Central Region - Nakawa, Coronation Avenue UMA SHOW GROUNDS KAMPALA
37, ABACUS PHARMA LTD-KABALE, NDA/PRE/WHP/1814, Wholesale Pharmacy, 28/11/2017, 1018, JOSEPH KAGWISAGYE, Kabale, South Western Region - Mbarara, Mbarara Road
38, ABACUS PHARMA(A) LTD, NDA/PRE/RTP/0573, Retail Pharmacy, 24/11/2017, 533, MARSHAL TUBENAWE, Mbarara, South Western Region - Mbarara, High Street
39, Abacus Pharma(A) Ltd, NDA/PRE/WHP/0545, Wholesale Pharmacy, 12/10/2018, 713, FRANCIS LUMU, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
40, ABACUS PHARMA(A) LTD - TITANIC PLAZA, NDA/PRE/RTP/0544, Retail Pharmacy, 27/11/2017, 796, Kakooza Samuel, KAMPALA, Central Region - Nakawa, JOHNSTONE STREET
41, ABACUS PHARMA(A) LTD-MBARARA, NDA/PRE/WHP/0576, Wholesale Pharmacy, 24/11/2017, 533, MARSHAL TUBENAWE, Mbarara, South Western Region - Mbarara, High Street
42, Abacus Pharma-Mbale, NDA/PRE/WHP/0150, Wholesale Pharmacy, 20/12/2017, 363, RICHARD KWASA, MBALE, Eastern Region - Tororo, Republic Street
43, Abba Pharmacy Limited, NDA/PRE/RTP/0360, Retail Pharmacy, 20/11/2017, 400, Herbert Masayi, KAMPALA, Central Region - Nakawa, Ntinda-Bukoto Rd
44, ABITEGEKA INVESTMENT (U) LIMITED, NDA/PRE/WHP/2556, Wholesale Pharmacy, 05/01/2018, 708, IVAN MWASE, Masindi, Western Region - Hoima, MASINDI
45, ABT Associates Inc-Muyenga, NDA/PRE/EXT/2127, External Store, 04/01/2018, 4120750093, Henry Okwalinga, Bugiri, South Eastern Region - Jinja, Musene Rd
46, ABT Associates Inc-Namutumba HQ, NDA/PRE/EXT/2122, External Store, 23/05/2018, 10/U/7219/PS, TIMOTHY OKWIR, Namutumba, South Eastern Region - Jinja, ICT Headquaters
47, ABT Associates Inc-Works Department, NDA/PRE/EXT/2126, External Store, 23/05/2018, 10/U/7219/PS, TIMOTHY OKWIR, Bugiri, South Eastern Region - Jinja, Works Department
48, ABT Associates-Agwatta, NDA/PRE/EXT/1967, External Store, 04/01/2018, N / A, TIMOTHY OKWIR, Dokolo, Northern Region - Lira, Subcounty
49, ABT Associates-Alemere, NDA/PRE/EXT/1964, External Store, 04/01/2018, N / A, TIMOTHY OKWIR, AMOLATAR, Northern Region - Lira, Trading center
50, ABT Associates-Lira, NDA/PRE/EXT/1965, External Store, 04/01/2018, N / A, TIMOTHY OKWIR, Lira, Northern Region - Lira, District HQ
51, ABT Associates-Loyi Rd, NDA/PRE/EXT/1966, External Store, 04/01/2018, N / A, TIMOTHY OKWIR, Lira, Northern Region - Lira, Loyi Rd
52, ABT SOTRAGE FACILITY-PMI VECTORLINK-SERERE, NDA/PRE/EXT/2578, External Store, 19/03/2018, N / A, TIMOTHY OKWIR, SERERE, Eastern Region - Tororo, EBUNYU ROAD
53, ABT STORAGE FACILITY - IRS - BUDAKA, NDA/PRE/EXT/2415, External Store, 04/01/2018, NONE, HENRY OKWALINGA, BUDAKA, Eastern Region - Tororo, HEAD QUARTERS
54, ABT STORAGE FACILITY - PMI VECTORLINK -KIBUKU, NDA/PRE/EXT/2032, External Store, 19/03/2018, NONE, TIMOTHY OKWIR, KIBUKU, Eastern Region - Tororo, SUB COUNTY HEADQUARTERS
55, ABT STORAGE FACILITY - PMI VECTORLINK-PALLISA, NDA/PRE/EXT/2579, External Store, 19/03/2018, N / A, TIMOTHY OKWIR, PALLISA, Eastern Region - Tororo, KASODO RD
56, ABT STORAGE FACILITY - PMI VECTORLINK-TORORO, NDA/PRE/EXT/2414, External Store, 19/03/2018, NONE, TIMOTHY OKWIR, TORORO, Eastern Region - Tororo, NAGONGERA ROAD
57, ABT STORAGE FACILITYPMI VECTORLINKBUTALEJA, NDA/PRE/EXT/2031, External Store, 19/03/2018, NONE, TIMOTHY OKWIR, BUTALEJA, Eastern Region - Tororo, HEADQUARTERS
58, ABT Storage For IRS Project-Alebtong, NDA/PRE/EXT/1963, External Store, 04/01/2018, N/A, TIMOTHY OKWIR, ALEBTONG, Northern Region - Lira, Town Council
59, ABT Storage For IRS Project-Otuke, NDA/PRE/EXT/1962, External Store, 04/01/2018, N/A, TIMOTHY OKWIR, Otuke, Northern Region - Lira, Town Council
60, Access Pharmacy Ltd, NDA/PRE/RTP/1719, Retail Pharmacy, 29/12/2017, 379, George Kibumba, KAMPALA, Central Region - Nakawa, Kira Rd
61, ACE HEALTHCARE -SMC LIMITED, NDA/PRE/MDV/3342, Medical Devices, 13/04/2018, not applicable ., ISAAC NTAMBI, KAMPALA, Central Region - Nakawa, GAYAZA ROAD
62, ACTIVE HEALTH (UGANDA) LIMITED, NDA/PRE/RTP/1142, Retail Pharmacy, 04/05/2018, 1216, NELSON MANDELA, Masindi, Western Region - Hoima, PORT ROAD
63, ACTIVE HEALTH (UGANDA) LIMITED, NDA/PRE/WHP/1143, Wholesale Pharmacy, 10/11/2017, 596, DAVID KARENYE, Masindi, Western Region - Hoima, PORT RD
64, Adonaijah Pharmaceuticals Ltd, NDA/PRE/RTP/1031, Retail Pharmacy, 11/04/2018, 1177, GILBERT AYEBARE, KAMPALA, Central Region - Nakawa, SALAAMA ROAD
65, Adreen Pharmacy, NDA/PRE/RTP/0795, Retail Pharmacy, 17/11/2017, 633, Owor Steven, WAKISO, Central Region - Nakawa, Hoima Rd
66, ADREEN PHARMACY, NDA/PRE/RTP/2985, Retail Pharmacy, 12/12/2017, 907, Ndugga Harrison, WAKISO, Central Region - Nakawa, Next to Shell Petrol Station
67, ADVANCED MEDICAL SOLUTIONS LIMITED, NDA/PRE/MDV/3387, Medical Devices, 10/04/2018, 7998, DAUDI PAUL KABANGA, KAMPALA, Central Region - Nakawa, OFF RUBAGA ROAD
68, Afaan Pharma Ltd, NDA/PRE/WHP/0550, Wholesale Pharmacy, 11/01/2018, 915a, Taratwebirwe Sarah, KAMPALA, Central Region - Nakawa, Bwaise
69, Affim Pharmacy (U) Ltd, NDA/PRE/RTP/0087, Retail Pharmacy, 28/11/2017, 1069, Henry Kyeyune, KAMPALA, Central Region - Nakawa, Market Square Road
70, AFRI - PLUS PHARMACY LIMITED, NDA/PRE/WHP/3137, Wholesale Pharmacy, 19/12/2017, 1023, DAN RUBAGUMYA, Iganga, South Eastern Region - Jinja, MAINSTREET
71, AFRICA BIOSYSTEMS UGANDA LIMITED, NDA/PRE/MDV/2205, Medical Devices, 03/01/2018, 17929, Leonard Bagenda, KAMPALA, Central Region - Nakawa, Kampala Road
72, AFRICA BRANDS ARCADE LIMITED, NDA/PRE/MDV/2823, Medical Devices, 20/03/2018, G-1858, BEN BWONYA, KAMPALA, Central Region - Nakawa, KAMPALA ROAD
73, AFRICA CHEMISTS AND BEAUTY CARE (U) LTD, NDA/PRE/RTP/1891, Retail Pharmacy, 30/11/2017, 783, Sarah Ameso, WAKISO, Central Region - Nakawa, Ground Floor
74, AFRIKA BIZ PHARMA - SMC LIMITED, NDA/PRE/WHP/3662, Wholesale Pharmacy, 24/08/2018, 397, ISABIRYE  VICTO, Jinja, South Eastern Region - Jinja, Bell Avenue
75, AFRIPHARMA (U) LIMITED, NDA/PRE/WHP/1678, Wholesale Pharmacy, 27/11/2017, 1060, Daniel Kafeero, KAMPALA, Central Region - Nakawa, Factory Road- Ntinda
76, Agakhan Health Services (U) Ltd, NDA/PRE/RTP/0471, Retail Pharmacy, 20/11/2017, 255, AZIZ DAMANI, KAMPALA, Central Region - Nakawa, Kampala Rd
77, Aggie Pharmacy Ltd - Bunga, NDA/PRE/RTP/0929, Retail Pharmacy, 23/02/2018, 486, Stella Nakaggwa, KAMPALA, Central Region - Nakawa, Ggaba Rd
78, Aggie Pharmacy Ltd - Kibuli, NDA/PRE/RTP/1423, Retail Pharmacy, 20/08/2018, 486, Stella Nakaggwa, KAMPALA, Central Region - Nakawa, Green hill Rd
79, AGROSERVE (U) LTD, NDA/PRE/RTP/1019, Retail Pharmacy, 08/11/2017, 862, juliet sanyu, Mukono, South Eastern Region - Jinja, Kayunga Rd
80, Agroserve Uganda Limited, NDA/PRE/RTP/0438, Retail Pharmacy, 19/01/2018, 836, JAMES MUYINDA, KAMPALA, Central Region - Nakawa, Nakivubo Place
81, AGROSERVE UGANDA LIMITED, NDA/PRE/RTP/1533, Retail Pharmacy, 08/11/2017, 820, Edward Kayongo, KAMPALA, Central Region - Nakawa, Yusuf Lule Rd
82, AHUMUZA PHARMACY INVESTMENTS LTD, NDA/PRE/RTP/0752, Retail Pharmacy, 26/04/2018, 1142, WILSON MWESIGWA, Kamwenge, South Western Region - Mbarara, Station Way Rd
83, AIDAN PHARMACY LTD, NDA/PRE/RTP/2509, Retail Pharmacy, 03/01/2018, 615, Jerome Owagage, WAKISO, Central Region - Nakawa, MASAKA ROAD
84, AIDS HEALTHCARE FOUNDATION, NDA/PRE/EXT/2668, External Store, 29/01/2018, 679, ANTHONY BATAMYE, KAMPALA, Central Region - Nakawa, KIRA ROAD
85, AIVEEN (U) LIMITED, NDA/PRE/WHP/0335, Wholesale Pharmacy, 13/11/2017, 895, JOHN MULANGWA, KAMPALA, Central Region - Nakawa, Wilson Rd
86, AIVEEN (U) LIMITED, NDA/PRE/WHP/1920, Wholesale Pharmacy, 08/12/2017, 618, Elemu Tonny, KAMPALA, Central Region - Nakawa, Wilson Rd
87, AIVEEN (U) LTD, NDA/PRE/EXT/3050, External Store, 28/11/2017, 895, JOHN MULANGWA, KAMPALA, Central Region - Nakawa, BOMBO ROAD
88, Aiveen (U) Ltd, NDA/PRE/RTP/0334, Retail Pharmacy, 05/06/2018, 1238, MAYI MAYEGA, KAMPALA, Central Region - Nakawa, Wilson Rd
89, Aiveen (U) Ltd, NDA/PRE/RTP/0473, Retail Pharmacy, 19/07/2018, 577, Simmions Okidi, KAMPALA, Central Region - Nakawa, Wilson Rd
90, Aiveen (U) Ltd, NDA/PRE/RTP/0476, Retail Pharmacy, 16/11/2017, 045689, PETER MAGONA, KAMPALA, Central Region - Nakawa, Wilson Rd
91, Aiveen (U) Ltd, NDA/PRE/WHP/0395, Wholesale Pharmacy, 13/11/2017, 407, Thomas Obua, KAMPALA, Central Region - Nakawa, William Street
92, Aiveen (U) Ltd - Jesco Plaza, NDA/PRE/WHP/2385, Wholesale Pharmacy, 13/11/2017, 045689, PETER MAGONA, KAMPALA, Central Region - Nakawa, Wilson Rd
93, Aiveen (U) Ltd - Wilson Road, NDA/PRE/WHP/1864, Wholesale Pharmacy, 13/11/2017, 270, NEVILLE OKUNA, KAMPALA, Central Region - Nakawa, Wilson Rd
94, AIVEEN UGANDA LIMITED, NDA/PRE/RTP/2292, Retail Pharmacy, 23/10/2018, 639, BRIAN SEKAYOMBYA, KAMPALA, Central Region - Nakawa, Bombo Road
95, AKRON DIAGNOSTICS AND LABORATORY SUPPLIES(U), NDA/PRE/MDV/3603, Medical Devices, 20/07/2018, 19118, Hamzah Sebunya, KAMPALA, Central Region - Nakawa, Johnson street
96, Akshar Pharmaceuticals (U) Ltd, NDA/PRE/WHP/0949, Wholesale Pharmacy, 20/10/2017, 1010, Khalim Wangoye, Kiryandongo, Western Region - Hoima, Gulu Highway
97, AKUBUS PHARMACEUTICALS, NDA/PRE/RTP/2633, Retail Pharmacy, 20/06/2018, 1189, JAMES KENYI, Adjumani, West Nile Region - Arua, ASALA ROAD
98, Akugoba Pharmacy, NDA/PRE/RTP/0343, Retail Pharmacy, 16/11/2017, 299, Lyeni Masereka, KAMPALA, Central Region - Nakawa, Entebbe Rd
99, Ales Pharmacy, NDA/PRE/RTP/0534, Retail Pharmacy, 05/12/2017, 589, Kuribanza Adrone, KAMPALA, Central Region - Nakawa, Kitebi Star
100, Alfa Pharma & Laboratories Ltd, NDA/PRE/RTP/0821, Retail Pharmacy, 08/05/2018, 833, IAN SSEMPALA, KAMPALA, Central Region - Nakawa, GGABA RD
101, ALFASAN UGANDA LIMITED, NDA/PRE/PMB/2421, Pharmaceutical Manufacturer B, 10/05/2018, 1061, IVAN KAFEERO, Mukono, South Eastern Region - Jinja, BUSINESS PARK OFF LINK RD
102, AL-HAMDU PHARMACY LTD, NDA/PRE/RTP/1105, Retail Pharmacy, 01/06/2018, 1252, JOHN OMERI, BUKEDEA, Eastern Region - Tororo, OUTEKE ROAD
103, ALHAMUDU PHARMACY LTD, NDA/PRE/WHP/1104, Wholesale Pharmacy, 07/12/2017, 731, ALEX SANDE, BUKEDEA, Eastern Region - Tororo, OUTEKE ROAD
104, ALISHA ANDYCO UGANDA LTD, NDA/PRE/WHP/1238, Wholesale Pharmacy, 03/10/2018, 254, JOHN OKELLO, MBALE, Eastern Region - Tororo, REPUBLIC STREET
105, Alison Pharmacy Ltd [Mac Alison Co. Ltd], NDA/PRE/RTP/0611, Retail Pharmacy, 03/11/2017, 728, KABAGAMBE KEITH, KAMPALA, Central Region - Nakawa, Busega
106, ALLIANZ PHARMACY, NDA/PRE/RTP/0537, Retail Pharmacy, 19/02/2018, 790, Emma Kamala, KAMPALA, Central Region - Nakawa, Bombo Road
107, ALLIED SUPER PHARMACY, NDA/PRE/WHP/1180, Wholesale Pharmacy, 27/08/2018, 1288, IBRAHIM MWIDU, Kasese, South Western Region - Mbarara, Margherita Street
108, ALLION PHARMACY, NDA/PRE/RTP/1373, Retail Pharmacy, 05/01/2018, 743, GLORIA KIRUNGI, WAKISO, Central Region - Nakawa, Masaka Road
109, Alma Pharmacy, NDA/PRE/RTP/2245, Retail Pharmacy, 28/02/2018, 1086, Ventrine Chelimo, WAKISO, Central Region - Nakawa, Kinawataka Road
110, ALOEVET PHARMACEUTICALS AND CONSULTANCIES LTD, NDA/PRE/RTP/0868, Retail Pharmacy, 03/01/2018, 1065, Aaron Kayemba, Mukono, South Eastern Region - Jinja, INDUSTRIAL AREA
111, Alpha Medica Pharmaceuticals 2012 Ltd, NDA/PRE/WHP/1381, Wholesale Pharmacy, 15/11/2017, 471, EMILLY  NAKAGIRI, KAMPALA, Central Region - Nakawa, Hoima Rd
112, Alpharma Care Ltd, NDA/PRE/WHP/0158, Wholesale Pharmacy, 15/11/2017, 922, RONALD OPIECABO, Lira, Northern Region - Lira, Ekwang Rd
113, Alpharma Care Ltd-Aputi Rd, NDA/PRE/WHP/1972, Wholesale Pharmacy, 15/11/2017, 922, RONALD OPIECABO, Lira, Northern Region - Lira, Aputi Rd
114, Al-Sharh Pharmacy, NDA/PRE/RTP/0678, Retail Pharmacy, 23/11/2017, 443, Ebong Lucy Apio, KAMPALA, Central Region - Nakawa, Salama Rd
115, ALTRAN PHARMACY, NDA/PRE/RTP/3374, Retail Pharmacy, 05/04/2018, 1179, BAHAATI BERNERD, WAKISO, Central Region - Nakawa, MAKINDYE SSABAGABO MUNICIPALITY
116, ALVINA PHARMA LTD, NDA/PRE/RTP/2662, Retail Pharmacy, 08/01/2018, 1070, Augustine Malinga, WAKISO, Central Region - Nakawa, ZIROBWE ROAD
117, ALYEEN PHARMACEUTICALS LIMITED, NDA/PRE/RTP/0414, Retail Pharmacy, 10/04/2018, 378, MICHEAL SEMPA, KAMPALA, Central Region - Nakawa, TRADING CENTRE
118, AM SALES & SERVICES (A) LIMITED, NDA/PRE/MDV/1878, Medical Devices, 28/12/2017, 4120120059, Nickson Okello, KAMPALA, Central Region - Nakawa, Kyagwe Road
119, Amara Vera Pharmacy Ltd, NDA/PRE/RTP/3724, Retail Pharmacy, 22/09/2018, 1233, NAMBI CHRISTINE, WAKISO, Central Region - Nakawa, Nabweru- Katooke Rd
120, AMATSIKO GABARIISA VETERINARY PHARMACY, NDA/PRE/RTP/2590, Retail Pharmacy, 28/11/2017, 1124, MOREEN KEMBABAZI, Lyantonde, South Western Region - Mbarara, STREET
121, AMAZON CHEMICALS LTD, NDA/PRE/WHP/0811, Wholesale Pharmacy, 11/04/2018, 1188, MAUREEN ILUKOR, KAMPALA, Central Region - Nakawa, CAPE ROAD
122, AMAZON IMMUNO-CHEM LIMITED, NDA/PRE/WHP/1531, Wholesale Pharmacy, 26/04/2018, 860, KULUTHUM NAMAGANDA, KAMPALA, Central Region - Nakawa, Cooper Motors High Street
123, Amazon Pharmacy, NDA/PRE/RTP/1194, Retail Pharmacy, 09/11/2017, 743, Ssemanda Musa, KAMPALA, Central Region - Nakawa, Entebbe Rd
124, Amibella Pharmacy Investments, NDA/PRE/RTP/0861, Retail Pharmacy, 16/11/2017, 439, Nagganda Kairu, KAMPALA, Central Region - Nakawa, Namungoona Rd
125, AMIRAH PHARMACY, NDA/PRE/RTP/3664, Retail Pharmacy, 17/08/2018, 1261, KENNETH SSOZI, WAKISO, Central Region - Nakawa, Entebbe Road
126, Amorite Pharmaceuticals Limited, NDA/PRE/RTP/2131, Retail Pharmacy, 12/01/2018, 1135, ISRAEL MUGISHA, KAMPALA, Central Region - Nakawa, Bombo Rd
127, Anchor Pharma Ltd, NDA/PRE/RTP/0289, Retail Pharmacy, 26/04/2018, 1196, JUDITH KAINZA, KAMPALA, Central Region - Nakawa, Kisaasi Rd
128, Andyco Pharmacy (U) Ltd, NDA/PRE/EXT/2424, External Store, 28/11/2017, 381a, PATRICK MUBANGIZI, KAMPALA, Central Region - Nakawa, William Street
129, Andyco Pharmacy (U) Ltd, NDA/PRE/EXT/2425, External Store, 28/11/2017, 381, PATRICK MUBANGIZI, KAMPALA, Central Region - Nakawa, William Street
130, ANDYCO PHARMACY (UGANDA) LIMITED, NDA/PRE/RTP/0413, Retail Pharmacy, 17/05/2018, 936, AIDAH SEMATIKO, KAMPALA, Central Region - Nakawa, WILLIAM STREET
131, ANDYCO PHARMACY (UGANDA) LIMITED, NDA/PRE/WHP/0412, Wholesale Pharmacy, 01/06/2018, 274, SEMATIKO KATENDE, KAMPALA, Central Region - Nakawa, William Street
132, ANDYCO PHARMACY (UGANDA) LTD, NDA/PRE/WHP/1390, Wholesale Pharmacy, 28/11/2017, 381, PATRICK MUBANGIZI, KAMPALA, Central Region - Nakawa, BOMBO RD
133, ANGELO FOUNDATION MEDICAL SUPPLY LIMITED, NDA/PRE/MDV/2473, Medical Devices, 08/02/2018, 217359, Michael Oling, KAMPALA, Central Region - Nakawa, KITINTALE CHURCH RD
134, ANISE PHARMACY, NDA/PRE/RTP/1017, Retail Pharmacy, 22/11/2017, 376, Ibrahim Sembatya, Mukono, South Eastern Region - Jinja, Namilyango Rd Junction
135, ANKOLE PHARMACEUTICALS LTD, NDA/PRE/RTP/0556, Retail Pharmacy, 20/11/2017, 1008, IVAN LUSWATA, Mbarara, South Western Region - Mbarara, Bucunku Rd
136, ANKOLE PHARMACEUTICALS LTD, NDA/PRE/RTP/1794, Retail Pharmacy, 24/11/2017, 1008, IVAN LUSWATA, Mbarara, South Western Region - Mbarara, Masaka Rd
137, APOTHEEK PHARMACY, NDA/PRE/RTP/1558, Retail Pharmacy, 05/12/2017, 942, Halima Nabusimba, WAKISO, Central Region - Nakawa, Bukasa Rd
138, Aqua Pharmacy, NDA/PRE/RTP/0503, Retail Pharmacy, 09/11/2017, 376, Ibrahim Sembatya, Mukono, South Eastern Region - Jinja, Along Bukerere Road
139, AQUA PHARMACY, NDA/PRE/RTP/1072, Retail Pharmacy, 22/11/2017, 682, Ahmed Balayo, Mukono, South Eastern Region - Jinja, Kiwanga
140, ARAFAT PHARMACY LIMITED, NDA/PRE/RTP/0085, Retail Pharmacy, 30/12/2017, 504, Apil Samuel, KAMPALA, Central Region - Nakawa, Jinja Rd
141, ARDENT PHARMACY, NDA/PRE/RTP/2092, Retail Pharmacy, 20/11/2017, 961, Fiona Mukasa, KAMPALA, Central Region - Nakawa, Old Portbell Rd
142, ARISON INTERNATIONAL LTD, NDA/PRE/MDV/3544, Medical Devices, 18/06/2018, 16390, MONDAY GEOFREY, KAMPALA, Central Region - Nakawa, MARTIN ROAD
143, ARMAN, NDA/PRE/WHP/0268, Wholesale Pharmacy, 28/11/2017, 349, ALICE LAMWAKA, Lira, Northern Region - Lira, Main Street
144, Armos & Sons Pharmacy, NDA/PRE/RTP/0488, Retail Pharmacy, 11/01/2018, 914, Ssekiziyivu Moses, KAMPALA, Central Region - Nakawa, Munyonyo Rd
145, Asante Pharmacy Ltd, NDA/PRE/RTP/0729, Retail Pharmacy, 28/12/2017, 591, Atino Carmen, KAMPALA, Central Region - Nakawa, Rubaga Rd
146, Asem Pharmaceuticals Ltd, NDA/PRE/RTP/2128, Retail Pharmacy, 08/11/2017, 834, Nassaazi Semanda, KAMPALA, Central Region - Nakawa, Kitalanga Rd
